Year,Year ending,Sex,Age Group,Offence Division,Alleged Offender Incidents
2018,December,Males,10-14 years,A Crimes against the person,"1,085"
2018,December,Males,10-14 years,B Property and deception offences,"2,125"
2018,December,Males,10-14 years,C Drug offences,64
2018,December,Males,10-14 years,D Public order and security offences,240
2018,December,Males,10-14 years,E Justice procedures offences,68
2018,December,Males,10-14 years,F Other offences,7
2018,December,Males,15-17 years,A Crimes against the person,"2,909"
2018,December,Males,15-17 years,B Property and deception offences,"4,510"
2018,December,Males,15-17 years,C Drug offences,514
2018,December,Males,15-17 years,D Public order and security offences,763
2018,December,Males,15-17 years,E Justice procedures offences,346
2018,December,Males,15-17 years,F Other offences,42
2018,December,Males,18-19 years,A Crimes against the person,"1,896"
2018,December,Males,18-19 years,B Property and deception offences,"2,670"
2018,December,Males,18-19 years,C Drug offences,869
2018,December,Males,18-19 years,D Public order and security offences,968
2018,December,Males,18-19 years,E Justice procedures offences,590
2018,December,Males,18-19 years,F Other offences,17
2018,December,Males,20-24 years,A Crimes against the person,"4,542"
2018,December,Males,20-24 years,B Property and deception offences,"6,505"
2018,December,Males,20-24 years,C Drug offences,"2,131"
2018,December,Males,20-24 years,D Public order and security offences,"2,761"
2018,December,Males,20-24 years,E Justice procedures offences,"2,309"
2018,December,Males,20-24 years,F Other offences,27
2018,December,Males,25-29 years,A Crimes against the person,"4,860"
2018,December,Males,25-29 years,B Property and deception offences,"7,182"
2018,December,Males,25-29 years,C Drug offences,"1,822"
2018,December,Males,25-29 years,D Public order and security offences,"2,684"
2018,December,Males,25-29 years,E Justice procedures offences,"2,645"
2018,December,Males,25-29 years,F Other offences,28
2018,December,Males,30-34 years,A Crimes against the person,"4,678"
2018,December,Males,30-34 years,B Property and deception offences,"6,717"
2018,December,Males,30-34 years,C Drug offences,"1,590"
2018,December,Males,30-34 years,D Public order and security offences,"2,188"
2018,December,Males,30-34 years,E Justice procedures offences,"2,924"
2018,December,Males,30-34 years,F Other offences,17
2018,December,Males,35-39 years,A Crimes against the person,"4,257"
2018,December,Males,35-39 years,B Property and deception offences,"5,299"
2018,December,Males,35-39 years,C Drug offences,"1,200"
2018,December,Males,35-39 years,D Public order and security offences,"2,053"
2018,December,Males,35-39 years,E Justice procedures offences,"2,918"
2018,December,Males,35-39 years,F Other offences,32
2018,December,Males,40-44 years,A Crimes against the person,"3,610"
2018,December,Males,40-44 years,B Property and deception offences,"3,716"
2018,December,Males,40-44 years,C Drug offences,869
2018,December,Males,40-44 years,D Public order and security offences,"1,576"
2018,December,Males,40-44 years,E Justice procedures offences,"2,513"
2018,December,Males,40-44 years,F Other offences,27
2018,December,Males,45-49 years,A Crimes against the person,"3,074"
2018,December,Males,45-49 years,B Property and deception offences,"2,564"
2018,December,Males,45-49 years,C Drug offences,675
2018,December,Males,45-49 years,D Public order and security offences,"1,267"
2018,December,Males,45-49 years,E Justice procedures offences,"1,988"
2018,December,Males,45-49 years,F Other offences,29
2018,December,Males,50-54 years,A Crimes against the person,"1,868"
2018,December,Males,50-54 years,B Property and deception offences,"1,249"
2018,December,Males,50-54 years,C Drug offences,352
2018,December,Males,50-54 years,D Public order and security offences,837
2018,December,Males,50-54 years,E Justice procedures offences,"1,131"
2018,December,Males,50-54 years,F Other offences,20
2018,December,Males,55-59 years,A Crimes against the person,"1,022"
2018,December,Males,55-59 years,B Property and deception offences,632
2018,December,Males,55-59 years,C Drug offences,186
2018,December,Males,55-59 years,D Public order and security offences,411
2018,December,Males,55-59 years,E Justice procedures offences,540
2018,December,Males,55-59 years,F Other offences,11
2018,December,Males,60-64 years,A Crimes against the person,644
2018,December,Males,60-64 years,B Property and deception offences,310
2018,December,Males,60-64 years,C Drug offences,93
2018,December,Males,60-64 years,D Public order and security offences,209
2018,December,Males,60-64 years,E Justice procedures offences,271
2018,December,Males,60-64 years,F Other offences,9
2018,December,Males,65 years and over,A Crimes against the person,970
2018,December,Males,65 years and over,B Property and deception offences,346
2018,December,Males,65 years and over,C Drug offences,61
2018,December,Males,65 years and over,D Public order and security offences,186
2018,December,Males,65 years and over,E Justice procedures offences,302
2018,December,Males,65 years and over,F Other offences,11
2017,December,Females,10-14 years,A Crimes against the person,514
2017,December,Females,10-14 years,B Property and deception offences,910
2017,December,Females,10-14 years,C Drug offences,27
2017,December,Females,10-14 years,D Public order and security offences,47
2017,December,Females,10-14 years,E Justice procedures offences,40
2017,December,Females,10-14 years,F Other offences,10
2017,December,Females,15-17 years,A Crimes against the person,835
2017,December,Females,15-17 years,B Property and deception offences,"1,477"
2017,December,Females,15-17 years,C Drug offences,97
2017,December,Females,15-17 years,D Public order and security offences,107
2017,December,Females,15-17 years,E Justice procedures offences,117
2017,December,Females,15-17 years,F Other offences,9
2017,December,Females,18-19 years,A Crimes against the person,393
2017,December,Females,18-19 years,B Property and deception offences,609
2017,December,Females,18-19 years,C Drug offences,183
2017,December,Females,18-19 years,D Public order and security offences,185
2017,December,Females,18-19 years,E Justice procedures offences,139
2017,December,Females,18-19 years,F Other offences,2
2017,December,Females,20-24 years,A Crimes against the person,"1,089"
2017,December,Females,20-24 years,B Property and deception offences,"1,964"
2017,December,Females,20-24 years,C Drug offences,655
2017,December,Females,20-24 years,D Public order and security offences,485
2017,December,Females,20-24 years,E Justice procedures offences,614
2017,December,Females,20-24 years,F Other offences,6
2017,December,Females,25-29 years,A Crimes against the person,"1,000"
2017,December,Females,25-29 years,B Property and deception offences,"2,328"
2017,December,Females,25-29 years,C Drug offences,518
2017,December,Females,25-29 years,D Public order and security offences,464
2017,December,Females,25-29 years,E Justice procedures offences,745
2017,December,Females,25-29 years,F Other offences,5
2017,December,Females,30-34 years,A Crimes against the person,945
2017,December,Females,30-34 years,B Property and deception offences,"2,054"
2017,December,Females,30-34 years,C Drug offences,457
2017,December,Females,30-34 years,D Public order and security offences,409
2017,December,Females,30-34 years,E Justice procedures offences,746
2017,December,Females,30-34 years,F Other offences,2
2017,December,Females,35-39 years,A Crimes against the person,944
2017,December,Females,35-39 years,B Property and deception offences,"1,588"
2017,December,Females,35-39 years,C Drug offences,316
2017,December,Females,35-39 years,D Public order and security offences,386
2017,December,Females,35-39 years,E Justice procedures offences,700
2017,December,Females,40-44 years,A Crimes against the person,742
2017,December,Females,40-44 years,B Property and deception offences,"1,165"
2017,December,Females,40-44 years,C Drug offences,232
2017,December,Females,40-44 years,D Public order and security offences,298
2017,December,Females,40-44 years,E Justice procedures offences,546
2017,December,Females,40-44 years,F Other offences,2
2017,December,Females,45-49 years,A Crimes against the person,631
2017,December,Females,45-49 years,B Property and deception offences,744
2017,December,Females,45-49 years,C Drug offences,164
2017,December,Females,45-49 years,D Public order and security offences,240
2017,December,Females,45-49 years,E Justice procedures offences,404
2017,December,Females,45-49 years,F Other offences,5
2017,December,Females,50-54 years,A Crimes against the person,349
2017,December,Females,50-54 years,B Property and deception offences,402
2017,December,Females,50-54 years,C Drug offences,78
2017,December,Females,50-54 years,D Public order and security offences,154
2017,December,Females,50-54 years,E Justice procedures offences,198
2017,December,Females,50-54 years,F Other offences,2
2017,December,Females,55-59 years,A Crimes against the person,175
2017,December,Females,55-59 years,B Property and deception offences,251
2017,December,Females,55-59 years,C Drug offences,42
2017,December,Females,55-59 years,D Public order and security offences,69
2017,December,Females,55-59 years,E Justice procedures offences,114
2017,December,Females,60-64 years,A Crimes against the person,104
2017,December,Females,60-64 years,B Property and deception offences,153
2017,December,Females,60-64 years,C Drug offences,13
2017,December,Females,60-64 years,D Public order and security offences,20
2017,December,Females,60-64 years,E Justice procedures offences,49
2017,December,Females,60-64 years,F Other offences,2
2017,December,Females,65 years and over,A Crimes against the person,111
2017,December,Females,65 years and over,B Property and deception offences,137
2017,December,Females,65 years and over,C Drug offences,6
2017,December,Females,65 years and over,D Public order and security offences,17
2017,December,Females,65 years and over,E Justice procedures offences,68
2017,December,Males,10-14 years,A Crimes against the person,"1,061"
2017,December,Males,10-14 years,B Property and deception offences,"2,449"
2017,December,Males,10-14 years,C Drug offences,79
2017,December,Males,10-14 years,D Public order and security offences,258
2017,December,Males,10-14 years,E Justice procedures offences,71
2017,December,Males,10-14 years,F Other offences,34
2017,December,Males,15-17 years,A Crimes against the person,"2,936"
2017,December,Males,15-17 years,B Property and deception offences,"5,815"
2017,December,Males,15-17 years,C Drug offences,465
2017,December,Males,15-17 years,D Public order and security offences,659
2017,December,Males,15-17 years,E Justice procedures offences,322
2017,December,Males,15-17 years,F Other offences,57
2017,December,Males,18-19 years,A Crimes against the person,"1,949"
2017,December,Males,18-19 years,B Property and deception offences,"3,181"
2017,December,Males,18-19 years,C Drug offences,798
2017,December,Males,18-19 years,D Public order and security offences,"1,144"
2017,December,Males,18-19 years,E Justice procedures offences,633
2017,December,Males,18-19 years,F Other offences,11
2017,December,Males,20-24 years,A Crimes against the person,"4,817"
2017,December,Males,20-24 years,B Property and deception offences,"6,693"
2017,December,Males,20-24 years,C Drug offences,"2,132"
2017,December,Males,20-24 years,D Public order and security offences,"2,847"
2017,December,Males,20-24 years,E Justice procedures offences,"2,147"
2017,December,Males,20-24 years,F Other offences,23
2017,December,Males,25-29 years,A Crimes against the person,"5,084"
2017,December,Males,25-29 years,B Property and deception offences,"7,281"
2017,December,Males,25-29 years,C Drug offences,"1,817"
2017,December,Males,25-29 years,D Public order and security offences,"2,782"
2017,December,Males,25-29 years,E Justice procedures offences,"2,590"
2017,December,Males,25-29 years,F Other offences,15
2017,December,Males,30-34 years,A Crimes against the person,"4,607"
2017,December,Males,30-34 years,B Property and deception offences,"6,424"
2017,December,Males,30-34 years,C Drug offences,"1,556"
2017,December,Males,30-34 years,D Public order and security offences,"2,162"
2017,December,Males,30-34 years,E Justice procedures offences,"2,817"
2017,December,Males,30-34 years,F Other offences,27
2017,December,Males,35-39 years,A Crimes against the person,"4,222"
2017,December,Males,35-39 years,B Property and deception offences,"5,187"
2017,December,Males,35-39 years,C Drug offences,"1,133"
2017,December,Males,35-39 years,D Public order and security offences,"1,966"
2017,December,Males,35-39 years,E Justice procedures offences,"2,890"
2017,December,Males,35-39 years,F Other offences,36
2017,December,Males,40-44 years,A Crimes against the person,"3,543"
2017,December,Males,40-44 years,B Property and deception offences,"3,503"
2017,December,Males,40-44 years,C Drug offences,793
2017,December,Males,40-44 years,D Public order and security offences,"1,555"
2017,December,Males,40-44 years,E Justice procedures offences,"2,351"
2017,December,Males,40-44 years,F Other offences,22
2017,December,Males,45-49 years,A Crimes against the person,"2,969"
2017,December,Males,45-49 years,B Property and deception offences,"2,259"
2017,December,Males,45-49 years,C Drug offences,568
2017,December,Males,45-49 years,D Public order and security offences,"1,216"
2017,December,Males,45-49 years,E Justice procedures offences,"1,874"
2017,December,Males,45-49 years,F Other offences,32
2017,December,Males,50-54 years,A Crimes against the person,"1,794"
2017,December,Males,50-54 years,B Property and deception offences,"1,029"
2017,December,Males,50-54 years,C Drug offences,312
2017,December,Males,50-54 years,D Public order and security offences,723
2017,December,Males,50-54 years,E Justice procedures offences,958
2017,December,Males,50-54 years,F Other offences,23
2017,December,Males,55-59 years,A Crimes against the person,"1,074"
2017,December,Males,55-59 years,B Property and deception offences,486
2017,December,Males,55-59 years,C Drug offences,169
2017,December,Males,55-59 years,D Public order and security offences,411
2017,December,Males,55-59 years,E Justice procedures offences,509
2017,December,Males,55-59 years,F Other offences,8
2017,December,Males,60-64 years,A Crimes against the person,575
2017,December,Males,60-64 years,B Property and deception offences,241
2017,December,Males,60-64 years,C Drug offences,75
2017,December,Males,60-64 years,D Public order and security offences,225
2017,December,Males,60-64 years,E Justice procedures offences,258
2017,December,Males,60-64 years,F Other offences,11
2017,December,Males,65 years and over,A Crimes against the person,896
2017,December,Males,65 years and over,B Property and deception offences,258
2017,December,Males,65 years and over,C Drug offences,40
2017,December,Males,65 years and over,D Public order and security offences,165
2017,December,Males,65 years and over,E Justice procedures offences,272
2017,December,Males,65 years and over,F Other offences,12
2016,December,Females,10-14 years,A Crimes against the person,439
2016,December,Females,10-14 years,B Property and deception offences,874
2016,December,Females,10-14 years,C Drug offences,24
2016,December,Females,10-14 years,D Public order and security offences,59
2016,December,Females,10-14 years,E Justice procedures offences,72
2016,December,Females,10-14 years,F Other offences,2
2016,December,Females,15-17 years,A Crimes against the person,704
2016,December,Females,15-17 years,B Property and deception offences,"1,520"
2016,December,Females,15-17 years,C Drug offences,98
2016,December,Females,15-17 years,D Public order and security offences,116
2016,December,Females,15-17 years,E Justice procedures offences,173
2016,December,Females,15-17 years,F Other offences,2
2016,December,Females,18-19 years,A Crimes against the person,422
2016,December,Females,18-19 years,B Property and deception offences,773
2016,December,Females,18-19 years,C Drug offences,232
2016,December,Females,18-19 years,D Public order and security offences,156
2016,December,Females,18-19 years,E Justice procedures offences,176
2016,December,Females,20-24 years,A Crimes against the person,"1,083"
2016,December,Females,20-24 years,B Property and deception offences,"2,085"
2016,December,Females,20-24 years,C Drug offences,676
2016,December,Females,20-24 years,D Public order and security offences,504
2016,December,Females,20-24 years,E Justice procedures offences,668
2016,December,Females,20-24 years,F Other offences,8
2016,December,Females,25-29 years,A Crimes against the person,"1,023"
2016,December,Females,25-29 years,B Property and deception offences,"2,267"
2016,December,Females,25-29 years,C Drug offences,647
2016,December,Females,25-29 years,D Public order and security offences,434
2016,December,Females,25-29 years,E Justice procedures offences,728
2016,December,Females,25-29 years,F Other offences,8
2016,December,Females,30-34 years,A Crimes against the person,957
2016,December,Females,30-34 years,B Property and deception offences,"1,911"
2016,December,Females,30-34 years,C Drug offences,493
2016,December,Females,30-34 years,D Public order and security offences,368
2016,December,Females,30-34 years,E Justice procedures offences,760
2016,December,Females,30-34 years,F Other offences,8
2016,December,Females,35-39 years,A Crimes against the person,894
2016,December,Females,35-39 years,B Property and deception offences,"1,446"
2016,December,Females,35-39 years,C Drug offences,331
2016,December,Females,35-39 years,D Public order and security offences,332
2016,December,Females,35-39 years,E Justice procedures offences,617
2016,December,Females,35-39 years,F Other offences,10
2016,December,Females,40-44 years,A Crimes against the person,819
2016,December,Females,40-44 years,B Property and deception offences,"1,167"
2016,December,Females,40-44 years,C Drug offences,230
2016,December,Females,40-44 years,D Public order and security offences,316
2016,December,Females,40-44 years,E Justice procedures offences,576
2016,December,Females,40-44 years,F Other offences,2
2016,December,Females,45-49 years,A Crimes against the person,593
2016,December,Females,45-49 years,B Property and deception offences,692
2016,December,Females,45-49 years,C Drug offences,144
2016,December,Females,45-49 years,D Public order and security offences,235
2016,December,Females,45-49 years,E Justice procedures offences,361
2016,December,Females,45-49 years,F Other offences,4
2016,December,Females,50-54 years,A Crimes against the person,315
2016,December,Females,50-54 years,B Property and deception offences,438
2016,December,Females,50-54 years,C Drug offences,82
2016,December,Females,50-54 years,D Public order and security offences,112
2016,December,Females,50-54 years,E Justice procedures offences,185
2016,December,Females,50-54 years,F Other offences,2
2016,December,Females,55-59 years,A Crimes against the person,148
2016,December,Females,55-59 years,B Property and deception offences,223
2016,December,Females,55-59 years,C Drug offences,25
2016,December,Females,55-59 years,D Public order and security offences,38
2016,December,Females,55-59 years,E Justice procedures offences,64
2016,December,Females,55-59 years,F Other offences,5
2016,December,Females,60-64 years,A Crimes against the person,78
2016,December,Females,60-64 years,B Property and deception offences,132
2016,December,Females,60-64 years,C Drug offences,9
2016,December,Females,60-64 years,D Public order and security offences,14
2016,December,Females,60-64 years,E Justice procedures offences,18
2016,December,Females,60-64 years,F Other offences,2
2016,December,Females,65 years and over,A Crimes against the person,108
2016,December,Females,65 years and over,B Property and deception offences,176
2016,December,Females,65 years and over,C Drug offences,4
2016,December,Females,65 years and over,D Public order and security offences,12
2016,December,Females,65 years and over,E Justice procedures offences,50
2016,December,Males,10-14 years,A Crimes against the person,"1,027"
2016,December,Males,10-14 years,B Property and deception offences,"2,349"
2016,December,Males,10-14 years,C Drug offences,71
2016,December,Males,10-14 years,D Public order and security offences,194
2016,December,Males,10-14 years,E Justice procedures offences,109
2016,December,Males,10-14 years,F Other offences,50
2016,December,Males,15-17 years,A Crimes against the person,"2,718"
2016,December,Males,15-17 years,B Property and deception offences,"6,455"
2016,December,Males,15-17 years,C Drug offences,477
2016,December,Males,15-17 years,D Public order and security offences,710
2016,December,Males,15-17 years,E Justice procedures offences,500
2016,December,Males,15-17 years,F Other offences,75
2016,December,Males,18-19 years,A Crimes against the person,"2,052"
2016,December,Males,18-19 years,B Property and deception offences,"3,143"
2016,December,Males,18-19 years,C Drug offences,826
2016,December,Males,18-19 years,D Public order and security offences,"1,137"
2016,December,Males,18-19 years,E Justice procedures offences,628
2016,December,Males,18-19 years,F Other offences,19
2016,December,Males,20-24 years,A Crimes against the person,"5,214"
2016,December,Males,20-24 years,B Property and deception offences,"7,875"
2016,December,Males,20-24 years,C Drug offences,"2,354"
2016,December,Males,20-24 years,D Public order and security offences,"3,278"
2016,December,Males,20-24 years,E Justice procedures offences,"2,416"
2016,December,Males,20-24 years,F Other offences,45
2016,December,Males,25-29 years,A Crimes against the person,"4,975"
2016,December,Males,25-29 years,B Property and deception offences,"7,670"
2016,December,Males,25-29 years,C Drug offences,"1,926"
2016,December,Males,25-29 years,D Public order and security offences,"2,886"
2016,December,Males,25-29 years,E Justice procedures offences,"2,685"
2016,December,Males,25-29 years,F Other offences,32
2016,December,Males,30-34 years,A Crimes against the person,"4,714"
2016,December,Males,30-34 years,B Property and deception offences,"6,816"
2016,December,Males,30-34 years,C Drug offences,"1,536"
2016,December,Males,30-34 years,D Public order and security offences,"2,539"
2016,December,Males,30-34 years,E Justice procedures offences,"2,813"
2016,December,Males,30-34 years,F Other offences,24
2016,December,Males,35-39 years,A Crimes against the person,"4,179"
2016,December,Males,35-39 years,B Property and deception offences,"5,380"
2016,December,Males,35-39 years,C Drug offences,"1,184"
2016,December,Males,35-39 years,D Public order and security offences,"2,044"
2016,December,Males,35-39 years,E Justice procedures offences,"2,742"
2016,December,Males,35-39 years,F Other offences,26
2016,December,Males,40-44 years,A Crimes against the person,"3,652"
2016,December,Males,40-44 years,B Property and deception offences,"3,987"
2016,December,Males,40-44 years,C Drug offences,850
2016,December,Males,40-44 years,D Public order and security offences,"1,606"
2016,December,Males,40-44 years,E Justice procedures offences,"2,284"
2016,December,Males,40-44 years,F Other offences,32
2016,December,Males,45-49 years,A Crimes against the person,"2,796"
2016,December,Males,45-49 years,B Property and deception offences,"2,174"
2016,December,Males,45-49 years,C Drug offences,526
2016,December,Males,45-49 years,D Public order and security offences,"1,123"
2016,December,Males,45-49 years,E Justice procedures offences,"1,640"
2016,December,Males,45-49 years,F Other offences,25
2016,December,Males,50-54 years,A Crimes against the person,"1,670"
2016,December,Males,50-54 years,B Property and deception offences,"1,014"
2016,December,Males,50-54 years,C Drug offences,329
2016,December,Males,50-54 years,D Public order and security offences,751
2016,December,Males,50-54 years,E Justice procedures offences,877
2016,December,Males,50-54 years,F Other offences,23
2016,December,Males,55-59 years,A Crimes against the person,887
2016,December,Males,55-59 years,B Property and deception offences,403
2016,December,Males,55-59 years,C Drug offences,138
2016,December,Males,55-59 years,D Public order and security offences,347
2016,December,Males,55-59 years,E Justice procedures offences,383
2016,December,Males,55-59 years,F Other offences,9
2016,December,Males,60-64 years,A Crimes against the person,570
2016,December,Males,60-64 years,B Property and deception offences,224
2016,December,Males,60-64 years,C Drug offences,58
2016,December,Males,60-64 years,D Public order and security offences,234
2016,December,Males,60-64 years,E Justice procedures offences,202
2016,December,Males,60-64 years,F Other offences,11
2016,December,Males,65 years and over,A Crimes against the person,844
2016,December,Males,65 years and over,B Property and deception offences,298
2016,December,Males,65 years and over,C Drug offences,42
2016,December,Males,65 years and over,D Public order and security offences,172
2016,December,Males,65 years and over,E Justice procedures offences,288
2016,December,Males,65 years and over,F Other offences,15
2015,December,Females,10-14 years,A Crimes against the person,399
2015,December,Females,10-14 years,B Property and deception offences,742
2015,December,Females,10-14 years,C Drug offences,27
2015,December,Females,10-14 years,D Public order and security offences,70
2015,December,Females,10-14 years,E Justice procedures offences,88
2015,December,Females,10-14 years,F Other offences,2
2015,December,Females,15-17 years,A Crimes against the person,728
2015,December,Females,15-17 years,B Property and deception offences,"1,350"
2015,December,Females,15-17 years,C Drug offences,124
2015,December,Females,15-17 years,D Public order and security offences,123
2015,December,Females,15-17 years,E Justice procedures offences,155
2015,December,Females,15-17 years,F Other offences,6
2015,December,Females,18-19 years,A Crimes against the person,413
2015,December,Females,18-19 years,B Property and deception offences,562
2015,December,Females,18-19 years,C Drug offences,229
2015,December,Females,18-19 years,D Public order and security offences,173
2015,December,Females,18-19 years,E Justice procedures offences,158
2015,December,Females,18-19 years,F Other offences,2
2015,December,Females,20-24 years,A Crimes against the person,"1,024"
2015,December,Females,20-24 years,B Property and deception offences,"1,759"
2015,December,Females,20-24 years,C Drug offences,714
2015,December,Females,20-24 years,D Public order and security offences,494
2015,December,Females,20-24 years,E Justice procedures offences,616
2015,December,Females,20-24 years,F Other offences,9
2015,December,Females,25-29 years,A Crimes against the person,965
2015,December,Females,25-29 years,B Property and deception offences,"2,021"
2015,December,Females,25-29 years,C Drug offences,588
2015,December,Females,25-29 years,D Public order and security offences,474
2015,December,Females,25-29 years,E Justice procedures offences,745
2015,December,Females,25-29 years,F Other offences,15
2015,December,Females,30-34 years,A Crimes against the person,843
2015,December,Females,30-34 years,B Property and deception offences,"1,793"
2015,December,Females,30-34 years,C Drug offences,434
2015,December,Females,30-34 years,D Public order and security offences,371
2015,December,Females,30-34 years,E Justice procedures offences,601
2015,December,Females,30-34 years,F Other offences,8
2015,December,Females,35-39 years,A Crimes against the person,809
2015,December,Females,35-39 years,B Property and deception offences,"1,254"
2015,December,Females,35-39 years,C Drug offences,301
2015,December,Females,35-39 years,D Public order and security offences,309
2015,December,Females,35-39 years,E Justice procedures offences,519
2015,December,Females,35-39 years,F Other offences,13
2015,December,Females,40-44 years,A Crimes against the person,771
2015,December,Females,40-44 years,B Property and deception offences,"1,053"
2015,December,Females,40-44 years,C Drug offences,244
2015,December,Females,40-44 years,D Public order and security offences,293
2015,December,Females,40-44 years,E Justice procedures offences,428
2015,December,Females,40-44 years,F Other offences,10
2015,December,Females,45-49 years,A Crimes against the person,467
2015,December,Females,45-49 years,B Property and deception offences,619
2015,December,Females,45-49 years,C Drug offences,146
2015,December,Females,45-49 years,D Public order and security offences,207
2015,December,Females,45-49 years,E Justice procedures offences,242
2015,December,Females,45-49 years,F Other offences,2
2015,December,Females,50-54 years,A Crimes against the person,289
2015,December,Females,50-54 years,B Property and deception offences,369
2015,December,Females,50-54 years,C Drug offences,86
2015,December,Females,50-54 years,D Public order and security offences,131
2015,December,Females,50-54 years,E Justice procedures offences,149
2015,December,Females,50-54 years,F Other offences,6
2015,December,Females,55-59 years,A Crimes against the person,162
2015,December,Females,55-59 years,B Property and deception offences,228
2015,December,Females,55-59 years,C Drug offences,39
2015,December,Females,55-59 years,D Public order and security offences,30
2015,December,Females,55-59 years,E Justice procedures offences,83
2015,December,Females,55-59 years,F Other offences,2
2015,December,Females,60-64 years,A Crimes against the person,82
2015,December,Females,60-64 years,B Property and deception offences,130
2015,December,Females,60-64 years,C Drug offences,16
2015,December,Females,60-64 years,D Public order and security offences,16
2015,December,Females,60-64 years,E Justice procedures offences,35
2015,December,Females,60-64 years,F Other offences,2
2015,December,Females,65 years and over,A Crimes against the person,82
2015,December,Females,65 years and over,B Property and deception offences,152
2015,December,Females,65 years and over,C Drug offences,5
2015,December,Females,65 years and over,D Public order and security offences,8
2015,December,Females,65 years and over,E Justice procedures offences,36
2015,December,Females,65 years and over,F Other offences,2
2015,December,Males,10-14 years,A Crimes against the person,959
2015,December,Males,10-14 years,B Property and deception offences,"2,379"
2015,December,Males,10-14 years,C Drug offences,53
2015,December,Males,10-14 years,D Public order and security offences,186
2015,December,Males,10-14 years,E Justice procedures offences,261
2015,December,Males,10-14 years,F Other offences,28
2015,December,Males,15-17 years,A Crimes against the person,"2,561"
2015,December,Males,15-17 years,B Property and deception offences,"6,336"
2015,December,Males,15-17 years,C Drug offences,426
2015,December,Males,15-17 years,D Public order and security offences,682
2015,December,Males,15-17 years,E Justice procedures offences,666
2015,December,Males,15-17 years,F Other offences,66
2015,December,Males,18-19 years,A Crimes against the person,"1,828"
2015,December,Males,18-19 years,B Property and deception offences,"3,059"
2015,December,Males,18-19 years,C Drug offences,984
2015,December,Males,18-19 years,D Public order and security offences,"1,290"
2015,December,Males,18-19 years,E Justice procedures offences,703
2015,December,Males,18-19 years,F Other offences,24
2015,December,Males,20-24 years,A Crimes against the person,"5,043"
2015,December,Males,20-24 years,B Property and deception offences,"6,165"
2015,December,Males,20-24 years,C Drug offences,"2,612"
2015,December,Males,20-24 years,D Public order and security offences,"3,824"
2015,December,Males,20-24 years,E Justice procedures offences,"2,113"
2015,December,Males,20-24 years,F Other offences,51
2015,December,Males,25-29 years,A Crimes against the person,"4,591"
2015,December,Males,25-29 years,B Property and deception offences,"6,201"
2015,December,Males,25-29 years,C Drug offences,"1,996"
2015,December,Males,25-29 years,D Public order and security offences,"3,021"
2015,December,Males,25-29 years,E Justice procedures offences,"2,316"
2015,December,Males,25-29 years,F Other offences,32
2015,December,Males,30-34 years,A Crimes against the person,"4,359"
2015,December,Males,30-34 years,B Property and deception offences,"5,557"
2015,December,Males,30-34 years,C Drug offences,"1,626"
2015,December,Males,30-34 years,D Public order and security offences,"2,635"
2015,December,Males,30-34 years,E Justice procedures offences,"2,420"
2015,December,Males,30-34 years,F Other offences,44
2015,December,Males,35-39 years,A Crimes against the person,"3,913"
2015,December,Males,35-39 years,B Property and deception offences,"4,261"
2015,December,Males,35-39 years,C Drug offences,"1,212"
2015,December,Males,35-39 years,D Public order and security offences,"2,111"
2015,December,Males,35-39 years,E Justice procedures offences,"2,228"
2015,December,Males,35-39 years,F Other offences,32
2015,December,Males,40-44 years,A Crimes against the person,"3,538"
2015,December,Males,40-44 years,B Property and deception offences,"3,014"
2015,December,Males,40-44 years,C Drug offences,883
2015,December,Males,40-44 years,D Public order and security offences,"1,723"
2015,December,Males,40-44 years,E Justice procedures offences,"1,930"
2015,December,Males,40-44 years,F Other offences,34
2015,December,Males,45-49 years,A Crimes against the person,"2,484"
2015,December,Males,45-49 years,B Property and deception offences,"1,613"
2015,December,Males,45-49 years,C Drug offences,504
2015,December,Males,45-49 years,D Public order and security offences,"1,140"
2015,December,Males,45-49 years,E Justice procedures offences,"1,261"
2015,December,Males,45-49 years,F Other offences,28
2015,December,Males,50-54 years,A Crimes against the person,"1,495"
2015,December,Males,50-54 years,B Property and deception offences,866
2015,December,Males,50-54 years,C Drug offences,337
2015,December,Males,50-54 years,D Public order and security offences,713
2015,December,Males,50-54 years,E Justice procedures offences,767
2015,December,Males,50-54 years,F Other offences,22
2015,December,Males,55-59 years,A Crimes against the person,816
2015,December,Males,55-59 years,B Property and deception offences,443
2015,December,Males,55-59 years,C Drug offences,155
2015,December,Males,55-59 years,D Public order and security offences,484
2015,December,Males,55-59 years,E Justice procedures offences,346
2015,December,Males,55-59 years,F Other offences,14
2015,December,Males,60-64 years,A Crimes against the person,564
2015,December,Males,60-64 years,B Property and deception offences,244
2015,December,Males,60-64 years,C Drug offences,72
2015,December,Males,60-64 years,D Public order and security offences,210
2015,December,Males,60-64 years,E Justice procedures offences,163
2015,December,Males,60-64 years,F Other offences,10
2015,December,Males,65 years and over,A Crimes against the person,782
2015,December,Males,65 years and over,B Property and deception offences,232
2015,December,Males,65 years and over,C Drug offences,43
2015,December,Males,65 years and over,D Public order and security offences,173
2015,December,Males,65 years and over,E Justice procedures offences,187
2015,December,Males,65 years and over,F Other offences,18
2014,December,Females,10-14 years,A Crimes against the person,338
2014,December,Females,10-14 years,B Property and deception offences,722
2014,December,Females,10-14 years,C Drug offences,17
2014,December,Females,10-14 years,D Public order and security offences,42
